Region, Name
NORTH,"North"
YORKS_AND_HSIDE,"Yorkshire and Hillside"
NORTH_WEST,"North West"
EAST_MIDS,"East Midlands"
WEST_MIDS,"West Midlands"
EAST_ANGLIA,"East Anglia"
OUTER_S_EAST,"Outer South East"
OUTER_MET,"Outer Metropolitan"
LONDON,"London"
SOUTH_WEST,"South West"
WALES,"Wales"
SCOTLAND,"Scotland"
N_IRELAND,"Northen Ireland"
UK, "UK"
